game_pk,game_date,home_odds,home_id,home_name,home_winner,home_last5_o_hardhit,home_last5_o_launch_speed,home_last5_o_launch_angle,home_last5_o_xwoba,home_last_p_hardhit,home_last_p_launch_speed,home_last_p_launch_angle,home_last_p_xwoba,away_odds,away_id,away_name,away_winner,away_last5_o_hardhit,away_last5_o_launch_speed,away_last5_o_launch_angle,away_last5_o_xwoba,away_last_p_hardhit,away_last_p_launch_speed,away_last_p_launch_angle,away_last_p_xwoba
776547,2025-08-29,132,114,CLE,true,31.72139171458057,86.17999999999999,16.66,0.2484,37.85627565515758,88.2,15.325000000000001,0.321625,-200,136,SEA,false,38.48087098087098,86.86,19.919999999999998,0.31520000000000004,42.11970451980594,89.45882352941177,12.16470588235294,0.2977058823529412
776550,2025-08-28,-120,137,SF,true,40.82900432900433,88.44,19.6,0.3394,39.53043167856919,88.08148148148148,6.14074074074074,0.27914814814814815,-140,112,CHC,false,40.012121212121215,87.52000000000001,17.96,0.31920000000000004,39.26508456747442,88.67368421052632,18.094736842105263,0.29168421052631577
776551,2025-08-29,-125,113,CIN,false,45.386543281280126,88.88,14.86,0.2866,28.938375350140056,85.975,11.025,0.29675,-140,138,STL,true,44.91626409017713,90.41999999999999,13.959999999999999,0.2982,40.79493291111422,89.04583333333333,12.804166666666665,0.31429166666666664
776552,2025-08-29,-172,143,PHI,true,40.49066610307331,89.22,14.179999999999998,0.3322,32.953604796075645,86.095,13.625,0.2802,-120,144,ATL,false,42.734299516908216,89.46,16.98,0.3458,43.633901835936264,88.89090909090909,9.768181818181818,0.31722727272727275
776553,2025-08-28,-174,158,MIL,false,36.44226918798665,89.3,14.12,0.32439999999999997,40.31953130577568,88.435,12.585,0.32485,105,109,AZ,true,37.61177302229934,88.22,16.56,0.2716,38.46153846153847,80.2,4.5,0.269
776554,2025-08-28,-130,138,STL,true,43.81481481481482,90.17999999999999,12.24,0.29400000000000004,42.06151526713682,88.55599999999998,11.44,0.33276000000000006,-140,134,PIT,false,40.84030784030784,88.92,11.78,0.30460000000000004,33.40054241884905,86.42499999999998,9.5,0.28075
776555,2025-08-28,-285,117,HOU,true,43.80377275477094,88.32000000000001,17.68,0.32900000000000007,42.85125178598084,88.9857142857143,13.071428571428571,0.29557142857142854,110,115,COL,false,33.76236044657097,86.9,11.360000000000001,0.231,47.76961302449113,90.58333333333331,10.0625,0.3495416666666666
776556,2025-08-28,105,145,CWS,false,34.44203633477379,87.9,21.16,0.2992,43.78077701398936,89.85789473684208,12.842105263157896,0.34910526315789475,-200,147,NYY,true,47.41726389552476,91.24000000000001,16.520000000000003,0.38499999999999995,42.13647070509982,89.3037037037037,12.044444444444444,0.31337037037037035
776557,2025-08-27,108,137,SF,true,40.91558441558442,88.78,19.18,0.3122,47.28629275106037,90.45,9.899999999999999,0.3375,-150,112,CHC,false,39.10303030303031,87.41999999999999,16.419999999999998,0.3176,41.55840295493929,88.93636363636364,13.640909090909092,0.3195
776558,2025-08-28,-225,121,NYM,false,44.262211862211856,88.17999999999999,13.680000000000001,0.3776,41.99729117393501,89.12307692307692,7.488461538461538,0.30400000000000005,110,146,MIA,true,39.24439775910364,86.97999999999999,9.540000000000001,0.30219999999999997,44.44444444444444,90.8,10.7,0.336
776559,2025-08-27,119,133,ATH,true,40.84415584415584,87.35999999999999,6.76,0.2758,38.872053872053876,88.3,15.200000000000001,0.30033333333333334,-160,116,DET,false,42.99115826702033,89.88000000000001,17.8,0.3422,42.266179922152,89.55454545454546,12.886363636363637,0.3049090909090909
776560,2025-08-28,-200,143,PHI,true,41.42875240701328,90.24,14.719999999999999,0.3092,43.997914732316595,89.75454545454545,15.136363636363633,0.3324545454545455,-120,144,ATL,false,41.40096618357488,89.24000000000001,13.319999999999999,0.34280000000000005,48.484848484848484,88.9,19.7,0.462
776561,2025-08-27,105,136,SEA,true,42.07346357346357,88.42,19.32,0.334,39.02430912575314,88.04799999999999,13.232000000000001,0.27899999999999997,-140,135,SD,false,41.531198037344964,88.3,10.440000000000001,0.2902,38.6430571880487,88.83333333333333,14.377777777777778,0.31466666666666665
776562,2025-08-27,-160,119,LAD,true,45.682154882154876,92.06,14.559999999999999,0.3502,39.048114630467566,88.78999999999999,18.07,0.28690000000000004,-140,113,CIN,false,47.69423558897243,88.88,15.039999999999997,0.2894,39.33769132481857,87.0391304347826,11.895652173913044,0.2952173913043478
776563,2025-08-27,-150,140,TEX,true,45.13658431330241,89.97999999999999,14.860000000000003,0.3318,44.99865047233468,90.2,17.933333333333334,0.2826666666666667,134,108,LAA,false,30.774804905239687,87.05999999999999,15.040000000000001,0.2556,43.34306186759163,89.47272727272728,10.586363636363636,0.33236363636363636
776564,2025-08-28,126,110,BAL,false,35.145232646834486,88.52000000000001,11.02,0.2838,42.99158996097896,89.60000000000001,14.26666666666667,0.3382000000000001,-200,111,BOS,true,45.33589087809037,89.53999999999999,11.74,0.3206,39.55727335659714,87.88461538461539,10.073076923076922,0.27865384615384614
776565,2025-08-27,115,146,MIA,false,43.04439775910364,87.93999999999998,8.8,0.3114,44.76190476190476,88.25,12.75,0.3105,-160,144,ATL,true,40.686680469289165,88.08,9.06,0.3118,39.109992289276704,88.44285714285715,14.628571428571428,0.32557142857142857
776566,2025-08-27,-150,121,NYM,true,45.32041292041292,89.04,14.8,0.38079999999999997,48.214285714285715,90.1,2.3000000000000003,0.2965,-140,143,PHI,false,41.06208574034661,89.94,14.86,0.3206,38.86611487562574,88.29374999999999,11.281249999999998,0.313875
776567,2025-08-27,-170,141,TOR,true,45.38872279045371,89.88000000000001,14.260000000000002,0.3376,39.12118423646588,88.15714285714284,17.985714285714288,0.2922142857142857,156,142,MIN,false,35.00508801543284,86.72,14.12,0.2834,41.64986962355384,88.1,14.55,0.301625
776568,2025-08-27,-164,138,STL,false,46.925925925925924,90.5,10.9,0.2878,42.72561213910845,89.19999999999999,9.907692307692308,0.30326923076923074,150,134,PIT,true,44.21972412294993,89.80000000000001,13.48,0.34400000000000003,38.929334049128556,89.2,12.709999999999999,0.3279
