game_pk,home_Team,away_Team,home_game_date,away_game_date,home_sp_mlbam,away_sp_mlbam,home_roll5_win_pct,home_roll5_runs_scored,home_roll5_runs_allowed,home_roll5_run_diff,away_roll5_win_pct,away_roll5_runs_scored,away_roll5_runs_allowed,away_roll5_run_diff,home_sp_roll3_velocity,home_sp_roll3_woba,home_sp_roll3_xwoba,home_sp_roll3_k_percent,home_sp_roll3_bb_percent,away_sp_roll3_velocity,away_sp_roll3_woba,away_sp_roll3_xwoba,away_sp_roll3_k_percent,away_sp_roll3_bb_percent,home_win_pct_to_date,away_win_pct_to_date,home_home_games_before,home_home_wins_before,home_home_win_pct_to_date,away_away_games_before,away_away_wins_before,away_away_win_pct_to_date,home_days_since_last_game,away_days_since_last_game,home_park_factor,away_park_factor
745159,STL,CIN,2024-06-29,2024-06-29,543243.0,686730.0,0.8,3.4,2.8,0.6000000000000001,0.4,5.6,5.0,0.5999999999999996,87.96666666666665,0.18400000000000002,0.25133333333333335,28.599999999999998,3.733333333333332,87.9,0.30000000000000004,0.28200000000000003,19.2,3.8,0.52,0.4868421052631579,37,21.0,0.5675675675675675,36,17.0,0.4722222222222222,1.0,1.0,0.96,1.09
745160,STL,ATL,2024-06-24,2024-06-24,458681.0,680885.0,0.6,6.2,5.0,1.2000000000000002,0.8,4.6,2.2,2.3999999999999995,90.06666666666666,0.3586666666666667,0.3293333333333333,24.5,8.333333333333334,89.09999999999998,0.308,0.2986666666666667,19.466666666666665,8.466666666666667,0.5142857142857142,0.5555555555555556,32,18.0,0.5625,38,19.0,0.5,1.0,1.0,0.96,0.99
745161,STL,CIN,2024-06-28,2024-06-28,669467.0,593423.0,0.8,4.0,3.0,1.0,0.4,6.4,6.2,0.20000000000000018,91.13333333333333,0.3076666666666667,0.2826666666666667,27.566666666666666,6.033333333333334,91.03333333333335,0.4073333333333333,0.37166666666666665,19.3,14.533333333333333,0.5135135135135135,0.49333333333333335,36,20.0,0.5555555555555556,35,17.0,0.4857142857142857,1.0,1.0,0.96,1.09
745162,STL,CIN,2024-06-27,2024-06-27,571945.0,671096.0,0.8,3.6,2.0,1.6,0.2,4.8,6.2,-1.4000000000000004,88.36666666666667,0.19399999999999995,0.22866666666666668,19.933333333333334,4.1000000000000005,88.5,0.31666666666666665,0.2906666666666667,26.633333333333336,11.6,0.5205479452054794,0.4864864864864865,35,20.0,0.5714285714285714,34,16.0,0.47058823529411764,1.0,1.0,0.96,1.09
745163,STL,SF,2024-06-22,2024-06-22,571945.0,663855.0,0.6,5.2,5.0,0.20000000000000018,0.4,6.4,5.8,0.6000000000000005,88.86666666666667,0.20233333333333328,0.19399999999999998,20.46666666666667,1.4333333333333333,88.3,0.3256666666666666,0.34933333333333333,20.466666666666665,8.0,0.5,0.4782608695652174,30,16.0,0.5333333333333333,36,15.0,0.4166666666666667,2.0,2.0,0.96,0.92
745164,STL,SF,2024-06-20,2024-06-20,669467.0,676775.0,0.4,4.2,5.0,-0.7999999999999998,0.4,6.0,5.4,0.5999999999999996,90.86666666666667,0.3353333333333333,0.28400000000000003,22.399999999999995,7.133333333333333,92.36666666666667,0.40466666666666673,0.38599999999999995,25.26666666666667,10.700000000000001,0.4925373134328358,0.4852941176470588,29,15.0,0.5172413793103449,35,15.0,0.42857142857142855,1.0,1.0,0.96,0.92
745165,STL,SF,2024-06-23,2024-06-23,543243.0,657277.0,0.6,6.6,5.6,1.0,0.2,4.6,6.4,-1.8000000000000007,88.06666666666668,0.22833333333333336,0.30733333333333335,24.8,10.399999999999999,89.16666666666667,0.25333333333333335,0.288,20.599999999999998,1.2,0.5072463768115942,0.4714285714285714,31,17.0,0.5483870967741935,37,15.0,0.40540540540540543,1.0,1.0,0.96,0.92
745166,STL,COL,2024-06-08,2024-06-08,502043.0,663372.0,0.4,4.6,5.0,-0.40000000000000036,0.2,3.8,7.8,-4.0,86.53333333333332,0.25966666666666666,0.26100000000000007,25.333333333333332,7.033333333333334,90.36666666666666,0.4116666666666667,0.3343333333333333,14.266666666666666,5.533333333333334,0.48214285714285715,0.35714285714285715,24,12.0,0.5,29,8.0,0.27586206896551724,1.0,1.0,0.96,1.35
745167,STL,COL,2024-06-09,2024-06-09,669467.0,621389.0,0.4,4.8,4.8,0.0,0.4,4.4,6.2,-1.7999999999999998,91.65,0.36,0.29700000000000004,11.75,14.7,84.53333333333332,0.3473333333333333,0.34800000000000003,11.199999999999998,3.633333333333333,0.47368421052631576,0.3684210526315789,25,12.0,0.48,30,9.0,0.3,1.0,1.0,0.96,1.35
745168,STL,PIT,2024-06-13,2024-06-13,458681.0,656605.0,0.6,4.6,3.2,1.3999999999999995,0.6,3.2,3.2,0.0,90.06666666666666,0.302,0.3353333333333333,23.333333333333332,10.666666666666666,90.96666666666668,0.26099999999999995,0.24766666666666667,26.3,3.966666666666667,0.48333333333333334,0.47761194029850745,28,14.0,0.5,34,16.0,0.47058823529411764,1.0,1.0,0.96,0.93
